,id,latitude,longitude,date_from,date_to,xmin,ymin,xmax,ymax
67,281410_2.0010.6/361,53.74331,20.57107,2020-05-25,2020-05-29,20.565221521902174,53.73697174192506,20.578868847899738,53.745068515594575
68,281410_2.0010.6/358,53.747193,20.574203,2020-05-25,2020-05-29,20.568568410612652,53.74277335985431,20.57902112024669,53.750305916237224
69,281410_2.0010.1/28,53.753943,20.580308,2020-05-25,2020-05-29,20.57294712208917,53.74845057613276,20.59427396785315,53.75717535471481
70,281410_2.0010.1/36,53.754394,20.588882,2020-05-25,2020-05-29,20.579645292503816,53.7503421136211,20.595719882028895,53.759032704126795
71,280302_2.0027.74/5,53.31802,20.09743,2020-05-20,2020-05-24,20.090476170462388,53.311569114006815,20.10599020619496,53.323136675205646
72,280302_2.0027.42,53.31091,20.10509,2020-05-20,2020-05-24,20.098654882936938,53.308565595710355,20.112821185519987,53.314393278005774
73,280302_2.0027.230/28,53.307012,20.10273,2020-05-20,2020-05-24,20.09228844915557,53.29878195420426,20.110550124594702,53.31046996385963
74,280302_2.0019.75,53.298267,20.109725,2020-05-20,2020-05-24,20.102965758064013,53.29143893419446,20.11522469160772,53.30796667573293
75,280302_2.0012.18/6,53.32026,20.1616,2020-05-20,2020-05-24,20.15731242666976,53.31547376789522,20.166192410253853,53.32482749476081
76,280302_2.0012.167/2,53.339162,20.156064,2020-05-20,2020-05-24,20.150080253201427,53.33595308990007,20.163830847800657,53.34241326058243
77,280302_2.0012.9/10,53.339841,20.148339,2020-05-20,2020-05-24,20.141862803789465,53.33482117464949,20.15375163075479,53.34412324941155
78,280302_2.0026.27/6,53.346989,20.14997,2020-05-20,2020-05-24,20.139730810614076,53.34246688288979,20.155626803893856,53.34890545500783
79,280302_2.0012.1/12,53.347873,20.155935,2020-05-20,2020-05-24,20.152464910918408,53.345732592329675,20.158436390859265,53.34894708321654
80,280302_2.0028.167,53.347655,20.127954,2020-05-20,2020-05-24,20.125672601873795,53.34657604758809,20.132124415414374,53.34871403310245
